State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SC,29437,DORCHESTER CO TT,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29438,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29439,FOLLY BEACH,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29440,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29442,GEORGETOWN,0.060000,0.060000,0.000000,0.000000,0.000000,0
SC,29445,GOOSE CREEK,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29446,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29447,DORCHESTER CO TT,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29448,DORCHESTER CO TT,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29449,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29450,CHARLESTON,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29451,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29452,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29453,JAMESTOWN,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29455,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29456,GOOSE CREEK,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29457,CHARLESTON,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29458,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29461,GOOSE CREEK,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29464,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29465,MOUNT PLEASANT,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29466,BERKELEY CO TR,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29468,BERKELEY CO TR,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29469,BERKELEY CO TR,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29470,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29471,REEVESVILLE,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29472,BERKELEY CO TR,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29474,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29475,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29476,BERKELEY CO TR,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29477,DORCHESTER CO TT,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29479,SAINT STEPHEN,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29481,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29482,SULLIVANS ISLAND,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29483,SUMMERVILLE,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29484,SUMMERVILLE,0.070000,0.060000,0.000000,0.000000,0.010000,0
SC,29485,GOOSE CREEK,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29486,GOOSE CREEK,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29487,CHARLESTON CO EDUCATIONAL CAPITAL IMPROVEMENTS TAX,0.090000,0.060000,0.010000,0.000000,0.020000,0
SC,29488,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29492,CHARLESTON,0.090000,0.060000,0.000000,0.010000,0.020000,0
SC,29493,COLLETON CO SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29501,DARLINGTON CO EDUCATION CAPTIAL IMPROVEMENT TAX SP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29502,FLORENCE,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29503,FLORENCE,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29504,FLORENCE,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29505,FLORENCE,0.080000,0.060000,0.000000,0.010000,0.010000,0
SC,29506,FLORENCE CO CP,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29510,WILLIAMSBURG CO SL,0.080000,0.060000,0.010000,0.000000,0.010000,0
SC,29511,AYNOR,0.080000,0.060000,0.000000,0.000000,0.020000,0
SC,29512,MARLBORO CO SD,0.080000,0.060000,0.010000,0.000000,0.010000,0
